	imin	imax	jmin	jmax	latmin	latmax	lonmin	lonmax
Box_228	4134	4193	2831	2890	47.48423194885254	48.19750213623047	-28.001264572143555	-29.02841567993164
Box_229	4134	4193	2891	2950	48.19750213623047	48.90423774719238	-28.002681732177734	-29.033008575439453
Box_230	4134	4193	2951	3010	48.90423774719238	49.60452461242676	-28.004443168640137	-29.038198471069336
Box_231	4134	4193	3011	3071	49.60452461242676	50.2984561920166	-28.006596565246582	-29.04404640197754
Box_232	4134	4193	3071	3131	50.2984561920166	50.986127853393555	-28.009193420410156	-29.050615310668945
Box_233	4134	4193	3131	3191	50.986127853393555	51.66763877868652	-28.012290954589844	-29.057973861694336
Box_234	4134	4193	3192	3251	51.66763877868652	52.34309387207031	-28.01595115661621	-29.066198348999023
Box_235	4134	4193	3252	3311	52.34309387207031	53.012603759765625	-28.020238876342773	-29.07536506652832
Box_236	4134	4193	3312	3372	53.012603759765625	53.676279067993164	-28.025226593017578	-29.08556079864502
Box_237	4134	4193	3372	3432	53.676279067993164	54.3342342376709	-28.030988693237305	-29.09687614440918
Box_238	4134	4193	3432	3492	54.3342342376709	54.98658752441406	-28.037609100341797	-29.109407424926758
Box_239	4134	4193	3492	3552	54.98658752441406	55.63346290588379	-28.045174598693848	-29.123258590698242
Box_240	4194	4253	2350	2409	41.53542137145996	42.303571701049805	-26.988033294677734	-27.997695922851562
Box_241	4194	4253	2410	2470	42.303571701049805	43.06471633911133	-26.986459732055664	-27.997673988342285
Box_242	4194	4253	2470	2530	43.06471633911133	43.818899154663086	-26.984798431396484	-27.99773406982422
Box_243	4194	4253	2531	2590	43.818899154663086	44.5661678314209	-26.983062744140625	-27.997900009155273
Box_244	4194	4253	2591	2650	44.5661678314209	45.306575775146484	-26.9812650680542	-27.998193740844727
Box_245	4194	4253	2651	2710	45.306575775146484	46.04018020629883	-26.97942352294922	-27.998645782470703
Box_246	4194	4253	2711	2770	46.04018020629883	46.767045974731445	-26.977558135986328	-27.999284744262695
Box_247	4194	4253	2771	2830	46.767045974731445	47.48724555969238	-26.975690841674805	-28.000144958496094
Box_248	4194	4253	2831	2890	47.48724555969238	48.20085525512695	-26.973848342895508	-28.001264572143555
Box_249	4194	4253	2891	2950	48.20085525512695	48.90795707702637	-26.972060203552246	-28.002681732177734
Box_250	4194	4253	2951	3011	48.90795707702637	49.60864067077637	-26.970358848571777	-28.004443168640137
Box_251	4194	4253	3012	3071	49.60864067077637	50.302995681762695	-26.968780517578125	-28.006596565246582
Box_252	4194	4253	3072	3131	50.302995681762695	50.99111747741699	-26.96736717224121	-28.009193420410156
Box_253	4194	4253	3132	3191	50.99111747741699	51.67311096191406	-26.966160774230957	-28.012290954589844
Box_254	4194	4253	3192	3251	51.67311096191406	52.34908103942871	-26.965210914611816	-28.01595115661621
Box_255	4194	4253	3252	3311	52.34908103942871	53.019134521484375	-26.96457004547119	-28.020238876342773
Box_256	4194	4253	3312	3372	53.019134521484375	53.68338584899902	-26.964295387268066	-28.025226593017578
Box_257	4194	4253	3373	3432	53.68338584899902	54.34195518493652	-26.964447021484375	-28.030988693237305
Box_258	4194	4253	3433	3492	54.34195518493652	54.99495887756348	-26.965094566345215	-28.037609100341797
Box_259	4194	4253	3493	3552	54.99495887756348	55.64251899719238	-26.966307640075684	-28.045174598693848
Box_260	4253	4313	2350	2410	41.5354061126709	42.30361747741699	-25.978291511535645	-26.988033294677734
Box_261	4253	4313	2410	2470	42.30361747741699	43.06483840942383	-25.97515296936035	-26.986459732055664
Box_262	4253	4313	2471	2530	43.06483840942383	43.81911087036133	-25.971757888793945	-26.984798431396484
Box_263	4253	4313	2531	2590	43.81911087036133	44.566484451293945	-25.968104362487793	-26.983062744140625
Box_264	4253	4313	2591	2650	44.566484451293945	45.307016372680664	-25.964198112487793	-26.9812650680542
Box_265	4253	4313	2651	2710	45.307016372680664	46.04076385498047	-25.96004581451416	-26.97942352294922
Box_266	4253	4313	2711	2770	46.04076385498047	46.76779365539551	-25.955655097961426	-26.977558135986328
Box_267	4253	4313	2771	2830	46.76779365539551	47.48817825317383	-25.951038360595703	-26.975690841674805
Box_268	4253	4313	2831	2891	47.48817825317383	48.201995849609375	-25.946210861206055	-26.973848342895508
Box_269	4254	4313	2891	2951	48.201995849609375	48.90933036804199	-25.941190719604492	-26.972060203552246
